Monitor_ID,Latitude,Longitude,State,Location_type,Observed_NO2_ppb,Predicted_NO2_ppb,WRF+DOMINO,800m_Impervious_%,Elevation_truncated_km,800m_MajorRoads_km,100m_MinorRoads_km,Distance_to_coast_km
26-081-0020-42602-1,42.984173,-85.671339,Michigan,Urban And Center City,14.22144522,12.34496108,4.246146202,61.8322,0.182,0.36656,0.26973,1134.5
26-163-0016-42602-1,42.357808,-83.096033,Michigan,Urban And Center City,15.87650046,18.82107684,11.68002129,65.8923,0.19,1.51526,0.27356,848.4
26-163-0019-42602-2,42.43084,-83.000138,Michigan,Suburban,14.00487862,16.88273865,10.74868584,57.4849,0.191,1.27123,0.10002,847.1
27-003-1002-42602-1,45.13768,-93.20772,Minnesota,Suburban,9.465859678,10.25085627,6.1768713,16.0693,0.28,0,0.32734,1758.9
27-037-0020-42602-1,44.76323,-93.03255,Minnesota,Rural,11.46372126,10.71873,4.424736023,21.3108,0.278,5.7514,0.1784,1778.9
27-037-0423-42602-1,44.77553,-93.06299,Minnesota,Rural,8.032345013,7.797109758,4.843144894,5.5089,0.263,0,0.19244,1780.2
29-047-0005-42602-1,39.30309,-94.376623,Missouri,Rural,6.881041326,8.08223799,3.280923605,8.976,0.274,1.30696,0.18709,1253
29-077-0036-42602-1,37.256136,-93.299886,Missouri,Suburban,10.36341743,9.025243863,1.534708977,37.7606,0.304,0,0,958.6
29-095-0034-42602-1,39.104758,-94.570796,Missouri,Urban And Center City,18.48072694,17.39719218,6.696279049,89.886,0.274,1.7139,0.11976,1227.1
29-183-1002-42602-1,38.872546,-90.226488,Missouri,Rural,8.402132344,7.719396004,5.14148283,5.9472,0.128,1.59173,0.16303,1118.3
29-186-0005-42602-1,37.90084,-90.42388,Missouri,Rural,3.335446897,5.32401928,0.889282703,0,0.255,0,0.19844,990.5
29-189-0004-42602-1,38.5325,-90.382778,Missouri,Suburban,11.38603625,12.81625455,6.992773533,38.4572,0.198,3.66301,0,1075.5
29-189-0014-42602-1,38.7109,-90.4759,Missouri,Rural,8.889413662,10.51208202,6.312878609,16.6273,0.139,0.96566,0.54892,1102.6
29-189-3001-42602-2,38.641438,-90.345936,Missouri,Suburban,15.33580041,13.22060952,8.403278351,49.3127,0.149,0,0.04853,1089.4
29-510-0086-42602-1,38.673221,-90.239166,Missouri,Urban And Center City,15.19404374,15.04172432,8.594419479,61.4279,0.154,1.50009,0.09877,1091.1
30-111-0086-42602-1,45.942631,-108.35096,Montana,Rural,3.772615132,3.504390775,-0.914956331,1.8328,0.304,0,0,1560.8
32-003-0022-42602-1,36.390775,-114.90681,Nevada,Rural,3.832825322,7.308377011,0.866087198,4.7448,0.304,1.56853,0.20226,501.3
32-003-0023-42602-1,36.80806,-114.06083,Nevada,Rural,5.144298123,7.717393139,-0.848070025,20.8073,0.304,1.3298,0.36813,606.4
32-003-0073-42602-1,36.173056,-115.331667,Nevada,Suburban,7.950434463,10.40017728,2.773029566,22.9526,0.304,0,0.40887,448.3
32-003-0539-42602-1,36.144444,-115.085556,Nevada,Suburban,18.88547072,15.93450933,6.199501991,56.8281,0.304,3.14899,0.14018,462.4
32-003-1019-42602-1,35.785634,-115.35706,Nevada,Rural,1.415398801,6.000189646,0.270984322,5.4167,0.304,0,0,405.4
32-003-2002-42602-1,36.191111,-115.122222,Nevada,Urban And Center City,20.54219054,14.99352063,5.509296894,61.0855,0.304,1.80758,0,465.2
33-011-0020-42602-1,43.000556,-71.468056,New Hampshire,Urban And Center City,10.12183055,11.3354745,2.88115859,58.2512,0.051,3.04391,0.15952,73.6
